ID | Subject | BaseText Status | Text Start
---|---------|-----------------|-----------
1 | portugues | OK (834) | De acordo com a narrativa, que...
2 | portugues | OK (834) | No trecho "Subiu ├ás sete. Des...
3 | portugues | OK (834) | A palavra "bala├║stre" recebe ...
4 | portugues | OK (834) | No contexto do texto, a subida...
5 | portugues | OK (834) | O motorista "pulou pela janela...
6 | portugues | OK (834) | Na ora├º├úo "O policial prende...
7 | portugues | OK (834) | Em "A mancha no colarinho do m...
8 | portugues | OK (834) | O plural da palavra "Capit├úo"...
9 | portugues | OK (834) | Qual o sentimento da passageir...
10 | portugues | OK (834) | Indique a classe gramatical da...
11 | portugues | OK (834) | Indique o ant├┤nimo de "brusca...
12 | portugues | OK (834) | Qual o tipo de narrador presen...
13 | portugues | OK (834) | No trecho "O motorista co├ºava...
14 | portugues | OK (834) | A pontua├º├úo usada em: ÔÇ£San...
15 | portugues | OK (834) | Se o ├┤nibus saiu exatamente ├...
16 | portugues | OK (834) | As palavras "sangue", "policia...
17 | portugues | OK (834) | Identifique o sujeito da ora├º...
18 | portugues | OK (834) | Em "Era sangue", o verbo ser i...
19 | portugues | OK (834) | No final do texto, descobre-se...
20 | portugues | OK (834) | A express├úo "de perto" em "ac...
21 | matematica | EMPTY | Sal├írio R$ 2400. Aluguel 25%....
22 | matematica | EMPTY | Tr├¬s navios de patrulha saem ...
23 | matematica | EMPTY | ├ürea conv├®s 15m x 6m?...
24 | matematica | EMPTY | Cabo 120m em 5 peda├ºos?...
25 | matematica | EMPTY | 4 m├íquinas -> 800. 7 m├íquina...
26 | matematica | EMPTY | 2 + 3 x 5 - 4?...
27 | matematica | EMPTY | Um tri├óngulo tem lados que me...
28 | matematica | EMPTY | 2x + 10 = 30....
29 | matematica | EMPTY | 1/2 + 1/4?...
30 | matematica | EMPTY | Dois pr├®dios de 20m e 35m de ...
31 | matematica | EMPTY | Total 40. 25 peixe, 20 carne, ...
32 | matematica | EMPTY | 2,5 km em metros?...
33 | matematica | EMPTY | Triplo x + 5 = 20?...
34 | matematica | EMPTY | Cubo lado 2m. Volume litros?...
35 | matematica | EMPTY | Soma ├óngulos internos tri├óng...
36 | matematica | EMPTY | 12 bolas VM, 18 AZ. Raz├úo VM/...
37 | matematica | EMPTY | Um marinheiro tem dois rolos d...
38 | matematica | EMPTY | Sucessor do dobro de 14?...
39 | matematica | EMPTY | Complemento de 40 graus?...
40 | matematica | EMPTY | 15 carros/viagem. 100 carros. ...
